orchard.num,orchard.type,elevation,Prox.Water,Szn.Max.Avg,Szn.Min.Avg,Szn.Temp.Avg,Szn.Total.Precip,Szn.UVI,Cultivation ,Herbicides,Com_Mul,Mowing ,Weed_Mats,Cover_Crops,Fire_Mgmt,Acres
1,1,1466,25,80.74166667,54.91666667,67.825,9.05,9.53,1,2,1,2,1,2,1,75
2,2,1466,25,80.74166667,54.91666667,67.825,9.05,9.53,1,2,1,2,1,2,1,75
3,1,15,315,69.625,46.68333333,58.16666667,9.49,9.53,2,1,2,2,1,2,1,30
4,2,245,45,78.73333333,43.06666667,60.89166667,11.66,9.53,2,2,2,2,1,2,1,40
5,1,105,630,79.575,55.03333333,67.30833333,0,9.53,2,1,2,2,1,2,1,3.5
6,1,97,350,79.53333333,54.45833333,67,0,9.53,2,1,2,2,1,2,1,120
7,1,20,280,77.15833333,48.375,62.74166667,0,7.99,1,2,1,2,1,1,1,400
8,2,20,280,77.15833333,48.375,62.74166667,0,7.99,1,2,1,2,1,1,1,400
9,2,63,130,77.61666667,48.25,62.925,14.6,7.99,2,1,1,2,2,2,1,14
10,1,53,60,77.61666667,48.25,62.925,14.6,7.99,2,2,2,1,1,2,1,47
11,2,55,530,73.1,44.19166667,58.65833333,26.32,7.99,2,2,1,2,1,2,2,16
12,1,72,215,64.025,46.20833333,55.13333333,30.82,7.99,2,1,1,2,1,2,1,5
13,1,121,685,64.7,43.46666667,54.09166667,40.58,5.05,1,2,1,2,1,1,1,3
14,2,138,110,64.7,43.46666667,54.09166667,40.58,5.05,1,1,1,2,1,1,1,4
15,2,591,250,50.63333333,35.43333333,43.025,79.83,5.05,2,1,2,2,2,2,1,50
16,1,644,95,50.63333333,35.43333333,43.025,79.83,5.05,1,2,2,1,1,1,1,54
17,2,161,210,60.01666667,35.99166667,48.01666667,49.44,5.05,,,,,,,,
18,2,172,490,60.95,42.46666667,51.7,29.84,4.36,2,2,1,2,1,1,1,110
19,1,401,290,63.68333333,39.45833333,51.56666667,4.23,4.36,2,1,1,1,1,1,1,120
20,2,203,95,62.11666667,41.725,51.95833333,8.85,4.36,1,2,1,2,1,1,1,45
21,1,390,215,63.68333333,39.45833333,51.56666667,4.23,4.36,1,2,2,2,1,1,1,300
22,2,390,215,63.68333333,39.45833333,51.56666667,4.23,4.36,2,1,2,2,1,1,1,80
23,1,393,17,56.35,30.45,43.40833333,18.44,4.36,2,1,2,2,1,1,1,80
24,1,493,380,58.15833333,33.90833333,46.04166667,15.81,4.36,1,1,1,2,1,2,1,50
