site.code ,orchard.num,orchard.type,Latitude,Longitude,elevation,Prox.Water,Szn.Max.Avg,Szn.Min.Avg,Szn.Temp.Avg,Szn.Total.Precip,Szn.UVI,Cultivation ,Herbicides,Com_Mul,Mowing ,Weed_Mats,Cover_Crops,Fire_Mgmt,Acres,Anthracnose,European Canker ,Bullseye Rot ,Powdery mildew,Apple scab,Root Rot ,Fire Blight ,Apple Maggots ,Codling Moth ,Aphids,Tree Borer ,Cedar Apple Rust ,Bitter Rot ,Leaf Roller,Horned Caterpillars,Trhips ,Stemble ,Scale,Pest_Index
A,1,Organic ,34.04883,116.9434,1466,4653,80.74166667,54.91666667,67.825,9.05,9.53,0,1,0,1,0,1,0,75,1,1,1,3,2,1,3,1,5,2,1,1,1,1,1,1,1,1,1.56
A,2,Conventional ,34.04883,116.9434,1466,4653,80.74166667,54.91666667,67.825,9.05,9.53,0,1,0,1,0,1,0,75,1,1,1,3,2,1,3,1,5,2,1,1,1,1,1,1,1,1,1.56
B,3,Organic ,35.27926,120.6921,15,197,69.625,46.68333333,58.16666667,9.49,9.53,1,0,1,1,0,1,0,30,1,1,1,1,2,2,5,1,5,2,1,1,1,3,1,1,1,1,1.72
B,4,Conventional ,35.77103,120.6372,245,608,78.73333333,43.06666667,60.89166667,11.66,9.53,1,1,1,1,0,1,0,40,1,3,1,3,2,1,4,2,5,2,2,2,2,1,1,1,1,1,1.94
Q,5,Organic ,35.1985,119.0442,105,20000,79.575,55.03333333,67.30833333,0,9.53,1,0,1,1,0,1,0,3.5,1,1,1,2,1,1,5,1,5,2,2,1,1,1,1,1,1,1,1.61
D,6,Organic ,36.6386,119.5089,97,78,79.53333333,54.45833333,67,0,9.53,1,0,1,1,0,1,0,120,2,2,1,1,1,1,5,1,2,2,2,1,1,1,1,1,1,1,1.5
E,7,Organic ,38.16262,121.205,20,1719,77.15833333,48.375,62.74166667,0,7.99,0,1,0,1,0,0,0,400,1,1,1,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1,1.39
E,8,Conventional ,38.16262,121.205,20,1719,77.15833333,48.375,62.74166667,0,7.99,0,1,0,1,0,0,0,400,1,1,1,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1,1.39
F,9,Conventional ,36.99562,121.7716,63,918,77.61666667,48.25,62.925,14.6,7.99,1,0,0,1,1,1,0,14,1,1,1,3,2,1,2,1,2,2,1,1,2,1,1,1,1,1,1.39
F,10,Organic ,36.9768,121.7215,53,1650,77.61666667,48.25,62.925,14.6,7.99,1,1,1,0,0,1,0,47,1,5,1,5,5,2,2,1,5,3,1,1,2,1,1,1,1,1,2.17
G,11,Conventional ,38.4296,122.8479,55,1968,73.1,44.19166667,58.65833333,26.32,7.99,1,1,0,1,0,1,1,16,2,2,1,4,4,2,2,1,4,2,1,2,2,2,2,1,1,1,2
G,12,Organic ,40.28567,123.8063,72,304,64.025,46.20833333,55.13333333,30.82,7.99,1,0,0,1,0,1,0,5,2,2,2,2,2,2,2,2,5,2,2,2,2,1,1,1,1,1,1.89
H,13,Organic ,44.20901,123.3281,121,426,64.7,43.46666667,54.09166667,40.58,5.05,0,1,0,1,0,0,0,3,1,1,1,3,5,1,1,2,5,2,1,1,5,1,1,1,1,1,1.89
H,14,Conventional ,44.02257,123.0045,138,72,64.7,43.46666667,54.09166667,40.58,5.05,0,0,0,1,0,0,0,4,4,1,1,2,3,1,1,1,5,2,1,1,1,1,1,1,1,1,1.61
I,15,Conventional ,45.51143,121.5584,591,221,50.63333333,35.43333333,43.025,79.83,5.05,1,0,1,1,1,1,0,50,2,1,1,5,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1.44
I,16,Organic ,45.50422,121.5893,644,98,50.63333333,35.43333333,43.025,79.83,5.05,0,1,1,0,0,0,0,54,1,1,1,4,2,1,3,2,3,3,2,1,1,1,1,1,1,2,1.72
J,17,Conventional ,45.83882,121.496,161,500,60.01666667,35.99166667,48.01666667,49.44,5.05,1,1,1,1,1,1,0,100,1,1,2,5,1,1,3,2,5,2,1,1,2,1,1,3,1,1,1.78
K,18,Conventional ,45.69196,121.5184,172,339,60.95,42.46666667,51.7,29.84,4.36,1,1,0,1,0,0,0,110,1,1,2,5,1,1,3,2,5,2,1,1,2,1,1,3,1,1,1.89
L,19,Organic ,47.26603,119.9447,401,5226,63.68333333,39.45833333,51.56666667,4.23,4.36,1,0,0,0,0,0,0,120,1,1,1,3,1,1,1,1,1,2,1,1,,1,1,1,1,1,1.11
L,20,Conventional ,47.55188,120.2998,203,271,62.11666667,41.725,51.95833333,8.85,4.36,0,1,0,1,0,0,0,45,1,1,1,3,2,2,1,3,5,5,1,1,3,1,1,1,1,1,1.89
M,21,Organic ,46.97863,119.3915,390,5737,63.68333333,39.45833333,51.56666667,4.23,4.36,0,1,1,1,0,0,0,300,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1.22
M,22,Conventional ,46.97863,119.3915,390,5737,63.68333333,39.45833333,51.56666667,4.23,4.36,1,0,1,1,0,0,0,80,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1.22
N,23,Organic ,48.85879,119.4922,393,317,56.35,30.45,43.40833333,18.44,4.36,1,0,1,1,0,0,0,80,1,1,1,2,1,1,2,1,2,4,1,1,1,1,1,1,1,1,1.33
P,24,Organic ,48.72351,118.1218,493,402,58.15833333,33.90833333,46.04166667,15.81,4.36,0,0,0,1,0,1,0,50,1,1,1,2,2,1,4,1,3,2,1,1,5,1,1,1,1,1,1.67
