Date ,Orchard Name,Orchard Number ,Orchard Type ,Tree #,AVG Apple Weight (g) /3,Bag Weight,Firmness (N), SSC,AVG Color,Maturity Index ,Notes 
07/31,Los Rios Ranchos ,1,Organic ,1,345,10,15.2,9,Green- hints of red ,3,Samples stored for 24 hoyurs on dry ice prior to processing due to materials issues (O1 AND O2 
,Los Rios Ranchos ,1,Organic ,2,381,10,8.4,12,Green- hints of red ,3,Metabolomic samples not stored with solution 
,Los Rios Ranchos ,1,Organic ,3,232,10,10.6,11,Green- hints of red ,4,
,Los Rios Ranchos ,1,Organic ,4,301,10,14.3,10,Green- hints of red ,5,
,Los Rios Ranchos ,1,Organic ,5,275,10,15.8,10.5,Green- hints of red ,4,
07/31,Los Rios Ranchos ,2,Conventional ,1,159,10,15.3,11,Green- hints of red ,4,
,Los Rios Ranchos ,2,Conventional ,2,126,10,9.86,12,Green- hints of red ,4,
,Los Rios Ranchos ,2,Conventional ,3,214,10,11.8,11,Green- hints of red ,4,
,Los Rios Ranchos ,2,Conventional ,4,229,10,15.4,10.5,Green- hints of red ,4,
,Los Rios Ranchos ,2,Conventional ,5,254,10,11.4,10,Green- hints of red ,5,
08/01,Gopher Glen ,3,Organic ,1,426,10,20.1,13,"mostly Red, hints of green ",4,
,Gopher Glen ,3,Organic ,2,365,10,17.8,15,"mostly Red, hints of green ",5,
,Gopher Glen ,3,Organic ,3,376,10,20.7,12,"mostly Red, hints of green ",3,
,Gopher Glen ,3,Organic ,4,371,10,20.8,13,"mostly Red, hints of green ",4,
,Gopher Glen ,3,Organic ,5,339,10,20.8,14,"mostly Red, hints of green ",4,
08/01,Fair Hill ,4,Conventional ,1,244,10,18.4,14,"Green, more yelow than red ",4,
,Fair Hill ,4,Conventional ,2,211,10,16.8,15.5,"Green, more yelow than red ",4,
,Fair Hill ,4,Conventional ,3,192,10,18,15.5,"Green, more yelow than red ",5,
,Fair Hill ,4,Conventional ,4,297,10,14.7,12.5,"Green, more yelow than red ",4,
,Fair Hill ,4,Conventional ,5,231,10,17.4,13,"Green, more yelow than red ",5,
08/02,Murray ,5,Organic ,1,213,10,24.4,19,"red/orange, yellow sploches ",5,sun burnt apples 
,Murray ,5,Organic ,2,265,10,20.7,19,"red/orange, yellow sploches ",5,
,Murray ,5,Organic ,3,211,10,17.7,18.5,"red/orange, yellow sploches ",3,
,Murray ,5,Organic ,4,225,10,19.2,19.5,"red/orange, yellow sploches ",7,
,Murray ,5,Organic ,5,272,10,14.2,20,"red/orange, yellow sploches ",5,
08/03,Day Break ,6,Organic ,1,514,10,19,15,orange/red. unripe ones green ,7,sun burnt apples 
,Day Break ,6,Organic ,2,278,10,21.6,20,orange/red. unripe ones green ,7,
,Day Break ,6,Organic ,3,310,10,20.6,16,orange/red. unripe ones green ,6,
,Day Break ,6,Organic ,4,257,10,17.8,15.5,orange/red. unripe ones green ,3,
,Day Break ,6,Organic ,5,257,10,18.3,18,orange/red. unripe ones green ,3,
08/04,Lodi ,7,Organic ,1,612,10,19.2,14,"deep red, hints of green ",7,
,Lodi ,7,Organic ,2,429,10,20.2,15,"deep red, hints of green ",7,
,Lodi ,7,Organic ,3,394,10,20.8,12.5,"deep red, hints of green ",7,
,Lodi ,7,Organic ,4,531,10,18,13,"deep red, hints of green ",6,
,Lodi ,7,Organic ,5,442,10,17,15,"deep red, hints of green ",6,
08/04,Lodi ,8,Conventional ,1,431,10,15.1,14.5,"red, green sides ",7,
,Lodi ,8,Conventional ,2,498,10,16.9,13.5,"red, green sides ",6,
,Lodi ,8,Conventional ,3,413,10,14.9,14,"red, green sides ",7,
,Lodi ,8,Conventional ,4,565,10,17.2,14,"red, green sides ",7,
,Lodi ,8,Conventional ,5,477,10,17.7,12.5,"red, green sides ",7,
08/05,Gizdich ,9,Conventional ,1,409,10,18.4,13.5,"spotty red top, green bottoms ",4,
,Gizdich ,9,Conventional ,2,459,10,20.9,14.5,"spotty red top, green bottoms ",4,
,Gizdich ,9,Conventional ,3,451,10,19.8,13,"spotty red top, green bottoms ",4,
,Gizdich ,9,Conventional ,4,345,10,20.5,15,"spotty red top, green bottoms ",5,
,Gizdich ,9,Conventional ,5,316,10,20.3,12,"spotty red top, green bottoms ",4,
08/05,Billy Bob's ,10,Organic ,1,379,10,23.4,12,"green sided, red sided ",4,
,Billy Bob's ,10,Organic ,2,426,10,22.2,12.5,"green sided, red sided ",5,
,Billy Bob's ,10,Organic ,3,344,10,20.5,13,"green sided, red sided ",5,
,Billy Bob's ,10,Organic ,4,371,10,21.8,12,"green sided, red sided ",4,
,Billy Bob's ,10,Organic ,5,378,10,23.4,12,"green sided, red sided ",5,
08/08,Hales ,11,Conventional ,1,284,10,21.1,11.5,"green sided, red sided ",3,
,Hales ,11,Conventional ,2,266,11,17.6,12,"green sided, red sided ",4,
,Hales ,11,Conventional ,3,274,10,19.8,13,"green sided, red sided ",3,
,Hales ,11,Conventional ,4,246,10,19.1,12.5,"green sided, red sided ",3,
,Hales ,11,Conventional ,5,280,10,22.6,12,"green sided, red sided ",3,
08/08,Trident ,12,Organic ,1,246,9,21.5,11,green  ,3,
,Trident ,12,Organic ,2,293,10,21.1,12,green  ,3,
