site.code ,orchard.num,orchard.type,Tree,Tissue,SampleID,TCA,A,B,C,E,F,G,H,PB1,gentistic_acid,cyanidin_Galactoside,catechin,chlorogenic_acid,caffeic_acid,PB2,syringic_acid,ePicatechin,U1,U2,I,J,K,rutin,hyperin,isoquercitin,reynoutrin,avicularin,L,quercitrin,phloridzin,quercetin,phloretin,M,p_coumaric_acid,ferulic_acid
A,1,Organic ,1_1,PULP,11PU,860.7902736,10.4917697,5.4100316,11.8585919,0,16.2059631,3.788724,6.0829337,0,0,0,0,8565.403204,0,951.021439,0,950.4374407,151.3137986,14.9434562,12.1808762,0,0,0,0,0,0,0,0,0,1346.89302,0,0,0,0,0
A,1,Organic ,1_2,PULP,12PU,857.7486118,0,12.5421059,0,0,0,6.3835553,3.3248643,0,0,0,0,6014.471808,0,1023.275761,0,908.4009706,74.1141073,17.1335844,0,0,0,0,0,0,0,0,0,0,354.0249596,0,0,3.699119931,0,0
A,1,Organic ,1_3,PULP,13PU,838.2831771,12.1170781,4.1319637,3.95213,0,10.589781,4.7197035,8.6089664,677.1608323,0,0,0,9091.674722,0,1307.488461,0,1168.034432,165.8489486,24.4212648,0,0,0,0,0,0,0,0,0,0,479.8848361,0,0,0,0,0
A,1,Organic ,1_4,PULP,14PU,864.2929807,14.5207695,6.278385,0,0,10.2675386,0,10.069556,0,0,0,0,7681.670213,38.3200998,0,371.6442575,960.5605927,122.6099817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1,Organic ,1_5,PULP,15PU,829.6875,11.8610588,8.3920439,0,0,0,3.8604449,0,0,0,0,0,8504.089319,337.95113,1135.09402,0,1172.897874,143.2716937,18.5855543,12.4334849,0,0,0,0,0,0,0,0,0,410.5325083,0,0,0,0,0
A,1,Organic ,1_1,SEED,11SD,761.6315554,0,5.0804615,8.742078,0,25.5726362,11.7052738,5.0696165,0,0,0,0,7481.679238,0,1305.768597,0,1201.000491,0,30.6050461,18.0913918,10.2653662,0,0,0,0,184.8292415,0,0,0,46935.44821,0,0,3.983122968,0,0
A,1,Organic ,1_2,SEED,12SD,840.7718951,0,4.11641,19.9673844,0,26.655192,8.3450728,9.2485926,0,0,0,0,16682.02347,0,1836.852728,299.5390765,1582.337412,13.7602665,50.5571063,33.1326112,19.7976993,30.1393474,844.3153921,0,0,250.8763987,0,5.737988105,310.6526563,110215.8781,0,43.21524852,0,0,0
A,1,Organic ,1_3,SEED,13SD,825.6559767,0,2.2850679,4.3779767,0,18.9273173,7.1476133,2.7002526,0,0,0,0,10500.94097,301.3179601,1710.27143,0,1577.147584,0,45.3562584,26.1502021,15.8823451,0,0,0,0,223.2244934,0,0,0,64288.46737,0,0,3.93517632,0,0
A,1,Organic ,1_4,SEED,14SD,853.8693467,0,4.7544829,3.9631817,0,15.016768,7.0817959,2.6796382,0,0,0,0,8803.555698,0,1609.985813,0,1249.817742,0,38.1996154,22.6529208,13.6139521,0,0,0,0,114.0420913,0,0,0,50920.53861,0,2.284026249,3.736517596,0,0
A,1,Organic ,1_5,SEED,15SD,834.5776031,4.4834195,5.8171169,13.8042238,0,15.4892157,7.7045986,3.3591639,2015.763832,0,0,0,15258.48037,434.1869453,3825.718574,0,763.4848251,0,63.8272655,62.3036757,45.0465401,31.3098089,0,0,0,210.2423554,0,0,0,86088.20036,0,0,0,0,0
A,1,Organic ,1_1,SKIN,11SK,846.2151394,7.5010628,4.7375039,8.8122243,0,8.7207145,6.0696602,7.3231654,898.8524165,0,0,0,3292.62751,0,2696.906314,436.9643959,2973.339589,28.3740115,73.488968,0,25.968316,37.7490911,704.0988509,18805.58934,3161.983302,3658.135885,7112.45833,65.66887769,9610.786493,1274.552404,0,0,0,0,0
A,1,Organic ,1_2,SKIN,12SK,862.1004566,7.3319889,3.556684,6.8310994,9.2510665,11.4435599,5.6444445,3.3201267,737.1611937,0,0,0,3669.849332,0,2168.171039,0,1945.19099,24.9437292,60.904008,35.6722924,31.581428,30.6391073,958.0803323,29800.17336,3903.297973,5974.033384,12329.93164,91.41794761,38675.51029,2859.361042,165.1770103,0,0,0,0
A,1,Organic ,1_3,SKIN,13SK,805.6899004,6.9771968,6.4911545,7.5304602,4.1284217,5.3110808,6.5938349,2.7516092,1549.870314,0,645.3232335,0,4220.867437,0,4617.682497,314.2099245,3649.460545,37.2869261,77.8741865,42.9491529,27.1908862,34.3483441,1876.280717,27056.56266,4659.925054,4869.8678,9103.23074,82.17271713,13781.46288,2429.334846,0,0,3.744691502,0,0
