site.code ,orchard.num,orchard.type,Latitude,Longitude,elevation,Prox.Water,Szn.Max.Avg,Szn.Min.Avg,Szn.Temp.Avg,Szn.Total.Precip,Szn.UVI,Cultivation ,Herbicides,Com_Mul,Mowing ,Weed_Mats,Cover_Crops,Fire_Mgmt,Acres,Acre_Cat,GHD,AHD
A,1,Organic ,34.04883,117,1466,25,80.74166667,54.91666667,67.825,9.05,9.53,N,Y,N,Y,N,Y,N,75,Med,20220816,20220731
A,2,Conventional ,34.04883,117,1466,25,80.74166667,54.91666667,67.825,9.05,9.53,N,Y,N,Y,N,Y,N,75,Med,20220816,20220731
B,3,Organic ,35.27926,121,15,315,69.625,46.68333333,58.16666667,9.49,9.53,Y,N,Y,Y,N,Y,N,30,Med,20220814,20220801
B,4,Conventional ,35.77103,121,245,45,78.73333333,43.06666667,60.89166667,11.66,9.53,Y,Y,Y,Y,N,Y,N,40,Med,20220721,20220801
Q,5,Organic ,35.1985,119,105,630,79.575,55.03333333,67.30833333,0,9.53,Y,N,Y,Y,N,Y,N,3.5,Small,20220807,20220802
D,6,Organic ,36.6386,120,97,350,79.53333333,54.45833333,67,0,9.53,Y,N,Y,Y,N,Y,N,120,Large,20220715,20220803
E,7,Organic ,38.16262,121,20,280,77.15833333,48.375,62.74166667,0,7.99,N,Y,N,Y,N,N,N,400,Large,20220701,20220804
E,8,Conventional ,38.16262,121,20,280,77.15833333,48.375,62.74166667,0,7.99,N,Y,N,Y,N,N,N,400,Large,20220701,20220804
F,9,Conventional ,36.99562,122,63,130,77.61666667,48.25,62.925,14.6,7.99,Y,N,N,Y,Y,Y,N,14,Med,20220901,20220805
F,10,Organic ,36.9768,122,53,60,77.61666667,48.25,62.925,14.6,7.99,Y,Y,Y,N,N,Y,N,47,Med,20220901,20220805
G,11,Conventional ,38.4296,123,55,530,73.1,44.19166667,58.65833333,26.32,7.99,Y,Y,N,Y,N,Y,Y,16,Med,20220901,20220808
G,12,Organic ,40.28567,124,72,215,64.025,46.20833333,55.13333333,30.82,7.99,Y,N,N,Y,N,Y,N,5,Small,NA,20220808
H,13,Organic ,44.20901,123,121,685,64.7,43.46666667,54.09166667,40.58,5.05,N,Y,N,Y,N,N,N,3,Small,20220920,20220810
H,14,Conventional ,44.02257,123,138,110,64.7,43.46666667,54.09166667,40.58,5.05,N,N,N,Y,N,N,N,4,Small,20220901,20220810
I,15,Conventional ,45.51143,122,591,250,50.63333333,35.43333333,43.025,79.83,5.05,Y,N,Y,Y,Y,Y,N,50,Med,20220915,20220811
I,16,Organic ,45.50422,122,644,95,50.63333333,35.43333333,43.025,79.83,5.05,N,Y,Y,N,N,N,N,54,Med,20221001,20220811
J,17,Conventional ,45.83882,121,161,210,60.01666667,35.99166667,48.01666667,49.44,5.05,,,,,,,,,,20220901,20220812
K,18,Conventional ,45.69196,122,172,490,60.95,42.46666667,51.7,29.84,4.36,Y,Y,N,Y,N,N,N,110,Large ,20220901,20220812
L,19,Organic ,47.26603,120,401,290,63.68333333,39.45833333,51.56666667,4.23,4.36,Y,N,N,N,N,N,N,120,Large ,20220820,20220815
L,20,Conventional ,47.55188,120,203,95,62.11666667,41.725,51.95833333,8.85,4.36,N,Y,N,Y,N,N,N,45,Med,20220901,20220815
M,21,Organic ,46.97863,119,390,215,63.68333333,39.45833333,51.56666667,4.23,4.36,N,Y,Y,Y,N,N,N,300,Large ,20220827,20220815
M,22,Conventional ,46.97863,119,390,215,63.68333333,39.45833333,51.56666667,4.23,4.36,Y,N,Y,Y,N,N,N,80,Med,20220827,20220815
N,23,Organic ,48.85879,119,393,17,56.35,30.45,43.40833333,18.44,4.36,Y,N,Y,Y,N,N,N,80,Med,20220901,20220816
P,24,Organic ,48.72351,118,493,380,58.15833333,33.90833333,46.04166667,15.81,4.36,N,N,N,Y,N,Y,N,50,Med,20220915,20220816
