site.code ,orchard.num,orchard.type,Tree,apple.wgt.3,bag.weight,Firmness, SSC,maturity.index
A,1,Organic ,1_1,345,10,15.2,9,3
A,1,Organic ,1_2,381,10,8.4,12,3
A,1,Organic ,1_3,232,10,10.6,11,4
A,1,Organic ,1_4,301,10,14.3,10,5
A,1,Organic ,1_5,275,10,15.8,10.5,4
A,2,Conventional ,2_1,159,10,15.3,11,4
A,2,Conventional ,2_2,126,10,9.86,12,4
A,2,Conventional ,2_3,214,10,11.8,11,4
A,2,Conventional ,2_4,229,10,15.4,10.5,4
A,2,Conventional ,2_5,254,10,11.4,10,5
B,3,Organic ,3_1,426,10,20.1,13,4
B,3,Organic ,3_2,365,10,17.8,15,5
B,3,Organic ,3_3,376,10,20.7,12,3
B,3,Organic ,3_4,371,10,20.8,13,4
B,3,Organic ,3_5,339,10,20.8,14,4
B,4,Conventional ,4_1,244,10,18.4,14,4
B,4,Conventional ,4_2,211,10,16.8,15.5,4
B,4,Conventional ,4_3,192,10,18,15.5,5
B,4,Conventional ,4_4,297,10,14.7,12.5,4
B,4,Conventional ,4_5,231,10,17.4,13,5
Q,5,Organic ,5_1,213,10,24.4,19,5
Q,5,Organic ,5_2,265,10,20.7,19,5
Q,5,Organic ,5_3,211,10,17.7,18.5,3
Q,5,Organic ,5_4,225,10,19.2,19.5,7
Q,5,Organic ,5_5,272,10,14.2,20,5
D,6,Organic ,6_1,514,10,19,15,7
D,6,Organic ,6_2,278,10,21.6,20,7
D,6,Organic ,6_3,310,10,20.6,16,6
D,6,Organic ,6_4,257,10,17.8,15.5,3
D,6,Organic ,6_5,257,10,18.3,18,3
E,7,Organic ,7_1,612,10,19.2,14,7
E,7,Organic ,7_2,429,10,20.2,15,7
E,7,Organic ,7_3,394,10,20.8,12.5,7
E,7,Organic ,7_4,531,10,18,13,6
E,7,Organic ,7_5,442,10,17,15,6
E,8,Conventional ,8_1,431,10,15.1,14.5,7
E,8,Conventional ,8_2,498,10,16.9,13.5,6
E,8,Conventional ,8_3,413,10,14.9,14,7
E,8,Conventional ,8_4,565,10,17.2,14,7
E,8,Conventional ,8_5,477,10,17.7,12.5,7
F,9,Conventional ,9_1,409,10,18.4,13.5,4
F,9,Conventional ,9_2,459,10,20.9,14.5,4
F,9,Conventional ,9_3,451,10,19.8,13,4
F,9,Conventional ,9_4,345,10,20.5,15,5
F,9,Conventional ,9_5,316,10,20.3,12,4
F,10,Organic ,10_1,379,10,23.4,12,4
F,10,Organic ,10_2,426,10,22.2,12.5,5
F,10,Organic ,10_3,344,10,20.5,13,5
F,10,Organic ,10_4,371,10,21.8,12,4
F,10,Organic ,10_5,378,10,23.4,12,5
G,11,Conventional ,11_1,284,10,21.1,11.5,3
G,11,Conventional ,11_2,266,11,17.6,12,4
G,11,Conventional ,11_3,274,10,19.8,13,3
G,11,Conventional ,11_4,246,10,19.1,12.5,3
G,11,Conventional ,11_5,280,10,22.6,12,3
G,12,Organic ,12_1,246,9,21.5,11,3
G,12,Organic ,12_2,293,10,21.1,12,3
G,12,Organic ,12_3,321,10,22.1,9.5,3
G,12,Organic ,12_4,272,9,21.1,11,3
G,12,Organic ,12_5,288,10,21.5,10,3
H,13,Organic ,13_1,297,9,21.4,10,3
H,13,Organic ,13_2,230,9,23.2,10,3
H,13,Organic ,13_3,215,9,22.7,9.5,3
H,13,Organic ,13_4,296,9,23.9,9.5,4
H,13,Organic ,13_5,294,10,22.4,10,3
H,14,Conventional ,14_1,283,9,30.8,9.5,3
H,14,Conventional ,14_2,261,9,33.4,8.5,3
H,14,Conventional ,14_3,303,9,35.2,9.5,3
H,14,Conventional ,14_4,274,10,33.5,9,3
H,14,Conventional ,14_5,292,10,36.6,8.5,3
I,15,Conventional ,15_1,204,10,20.9,8,3
I,15,Conventional ,15_2,237,10,17.4,8,3
I,15,Conventional ,15_3,258,10,17.2,7.5,3
I,15,Conventional ,15_4,337,10,21.7,8,3
I,15,Conventional ,15_5,273,10,23.4,8,3
I,16,Organic ,16_1,141,11,21.8,9,3
I,16,Organic ,16_2,115,10,23.3,8,3
