site.code ,orchard.type,Orchard.num,Tree,Cultivation ,Herbicides,Com_Mul,Mowing ,Weed_Mats,Cover_Crops,Fire_Mgmt,Acres,Pest_Index,Latitude,Longitutde,elevation,Szn.Max.Avg,Szn.Min.Avg,Szn.Temp.Avg,Szn.Total.Precip,Prox.Water,avgwgt,Firmness, SSC,maturity.index,Tissue,SampleID,TCA,pb1,gentistic.acid,catechin,c.gala,chl.acid,caf.acid,pb2,syr.acid,epicatechin,p.coum,ferulic,rutin,hyperin,isoquercitin,reynoutrin,avicularin,quercitrin,phloridzin,quercetin,phloretin,U1,U2,,
A,Organic ,1,1_1,0,1,0,1,0,1,0,75,1.56,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,111.67,15.2,9,3,PULP,11PU,860.7902736,0,0,0,0,8737.685623,0,429.9850035,0,1063.979787,0,0,0,0,0,0,0,0,1583.129194,0,0,140.9945435,13.9243466,,
A,Organic ,1,1_2,0,1,0,1,0,1,0,75,1.56,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,123.67,8.4,12,3,PULP,12PU,857.7486118,0,0,0,0,6057.820309,0,543.2425116,0,0,0,0,0,0,0,0,0,260.8713324,0,0,0,69.0596946,15.9651132,,
A,Organic ,1,1_3,0,1,0,1,0,1,0,75,1.56,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,74,10.6,11,4,PULP,13PU,838.2831771,735.6427861,0,0,0,9297.646174,0,997.5739452,0,1276.803705,0,0,0,0,0,0,0,0,0,0,0,154.5384295,22.7557904,,
A,Organic ,1,1_4,0,1,0,1,0,1,0,75,1.56,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,97,14.3,10,5,PULP,14PU,864.2929807,0,0,0,0,7997.384475,47.602408,0,0,997.4519352,0,0,0,0,0,0,0,0,0,0,0,78.1736719,127.57154,,
A,Organic ,1,1_5,0,1,0,1,0,1,0,75,1.56,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,88.33,15.8,10.5,4,PULP,15PU,829.6875,632.7104809,0,0,0,8682.781255,41.8807951,746.0152509,0,1280.426512,0,0,0,0,0,0,0,0,0,0,0,133.5008918,17.318062,,
A,Organic ,1,1_1,0,1,0,1,0,1,0,75,1.56,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,111.67,15.2,9,3,SEED,11SD,761.6315554,0,0,0,0,7629.175735,0,1085.221011,0,1298.783875,0,0,0,0,0,124.8336364,0,0,44993.9979,0,6.5073008,0,28.5178519,,
A,Organic ,1,1_2,0,1,0,1,0,1,0,75,1.56,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,123.67,8.4,12,3,SEED,12SD,840.7718951,0,0,0,0,17361.81527,0,1923.815873,305.672958,1644.443544,0,0,0,0,0,261.366517,0,330.7448812,114660.2204,0,46.2451268,14.317092,52.6029595,,
A,Organic ,1,1_3,0,1,0,1,0,1,0,75,1.56,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,74,10.6,11,4,SEED,13SD,825.6559767,0,0,0,0,10782.52652,4.6327979,1623.832941,0,1681.102924,0,0,0,0,0,160.3663368,0,45.8448268,61553.50887,0,3.2315064,0,42.2630653,,
A,Organic ,1,1_4,0,1,0,1,0,1,0,75,1.56,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,97,14.3,10,5,SEED,14SD,853.8693467,0,0,0,0,9164.609697,0,1687.965311,0,1298.438084,0,0,0,0,0,119.0003142,0,0,52965.18052,0,3.6775313,0,39.7454081,,
A,Organic ,1,1_5,0,1,0,1,0,1,0,75,1.56,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,88.33,15.8,10.5,4,SEED,15SD,867.381317,0,0,0,0,16399.76148,147.4799119,5014.02375,0,2820.757647,0,0,0,0,0,150.944903,0,92.0071139,85567.61518,0,21.9416271,0,60.3365923,,
