site.code ,onum,orchard.type,tree,avgwgt,Firmness, SSC,maturity.index,Latitude,Longitutde,elevation,Szn.Max.Avg,Szn.Min.Avg,Szn.Temp.Avg,Szn.Total.Precip,Prox.Water,Cultivation ,Herbicides,Compost/Mulching ,Mowing ,Weed Mats/Fabrics,Cover Crops ,Fire Management ,Anthracnose,European Canker ,Bullseye Rot ,Powdery mildew,Apple scab,Root Rot ,Fire Blight ,Apple Maggots ,Codling Moth ,Aphids,Tree Borer ,Cedar Apple Rust ,Bitter Rot ,Leaf Roller,Horned Caterpillars,Trhips ,Stemble ,Scale
A,1,Organic ,1,111.6666667,15.2,9,3,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,1,1,1,3,2,1,3,1,5,2,1,1,1,1,1,1,1,1
A,1,Organic ,2,123.6666667,8.4,12,3,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,1,1,1,3,2,1,3,1,5,2,1,1,1,1,1,1,1,1
A,1,Organic ,3,74,10.6,11,4,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,1,1,1,3,2,1,3,1,5,2,1,1,1,1,1,1,1,1
A,1,Organic ,4,97,14.3,10,5,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,1,1,1,3,2,1,3,1,5,2,1,1,1,1,1,1,1,1
A,1,Organic ,5,88.33333333,15.8,10.5,4,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,1,1,1,3,2,1,3,1,5,2,1,1,1,1,1,1,1,1
A,2,Conventional ,1,49.66666667,15.3,11,4,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,1,1,1,3,2,1,3,1,5,2,1,1,1,1,1,1,1,1
A,2,Conventional ,2,38.66666667,9.86,12,4,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,1,1,1,3,2,1,3,1,5,2,1,1,1,1,1,1,1,1
A,2,Conventional ,3,68,11.8,11,4,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,1,1,1,3,2,1,3,1,5,2,1,1,1,1,1,1,1,1
A,2,Conventional ,4,73,15.4,10.5,4,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,1,1,1,3,2,1,3,1,5,2,1,1,1,1,1,1,1,1
A,2,Conventional ,5,81.33333333,11.4,10,5,34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,0,1,0,1,0,1,0,1,1,1,3,2,1,3,1,5,2,1,1,1,1,1,1,1,1
B,3,Organic ,1,138.6666667,20.1,13,4,35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,1,0,1,1,0,1,0,1,1,1,1,2,2,5,1,5,2,1,1,1,3,1,1,1,1
B,3,Organic ,2,118.3333333,17.8,15,5,35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,1,0,1,1,0,1,0,1,1,1,1,2,2,5,1,5,2,1,1,1,3,1,1,1,1
B,3,Organic ,3,122,20.7,12,3,35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,1,0,1,1,0,1,0,1,1,1,1,2,2,5,1,5,2,1,1,1,3,1,1,1,1
B,3,Organic ,4,120.3333333,20.8,13,4,35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,1,0,1,1,0,1,0,1,1,1,1,2,2,5,1,5,2,1,1,1,3,1,1,1,1
B,3,Organic ,5,109.6666667,20.8,14,4,35.27926,120.6921,15,69.625,46.68333333,58.16666667,9.49,197,1,0,1,1,0,1,0,1,1,1,1,2,2,5,1,5,2,1,1,1,3,1,1,1,1
B,4,Conventional ,1,78,18.4,14,4,35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,1,1,1,1,0,1,0,1,3,1,3,2,1,4,2,5,2,2,2,2,1,1,1,1,1
B,4,Conventional ,2,67,16.8,15.5,4,35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,1,1,1,1,0,1,0,1,3,1,3,2,1,4,2,5,2,2,2,2,1,1,1,1,1
B,4,Conventional ,3,60.66666667,18,15.5,5,35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,1,1,1,1,0,1,0,1,3,1,3,2,1,4,2,5,2,2,2,2,1,1,1,1,1
B,4,Conventional ,4,95.66666667,14.7,12.5,4,35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,1,1,1,1,0,1,0,1,3,1,3,2,1,4,2,5,2,2,2,2,1,1,1,1,1
B,4,Conventional ,5,73.66666667,17.4,13,5,35.77103,120.6372,245,78.73333333,43.06666667,60.89166667,11.66,608,1,1,1,1,0,1,0,1,3,1,3,2,1,4,2,5,2,2,2,2,1,1,1,1,1
D,6,Organic ,5,82.33333333,18.3,18,3,36.6386,119.5089,97,79.53333333,54.45833333,67,0,78,1,0,1,1,0,1,0,2,2,1,1,1,1,5,1,2,2,2,1,1,1,1,1,1,1
E,7,Organic ,1,200.6666667,19.2,14,7,38.16262,121.205,20,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,1,1,1,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1
E,7,Organic ,2,139.6666667,20.2,15,7,38.16262,121.205,20,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,1,1,1,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1
E,7,Organic ,3,128,20.8,12.5,7,38.16262,121.205,20,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,1,1,1,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1
E,7,Organic ,4,173.6666667,18,13,6,38.16262,121.205,20,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,1,1,1,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1
E,7,Organic ,5,144,17,15,6,38.16262,121.205,20,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,1,1,1,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1
E,8,Conventional ,1,140.3333333,15.1,14.5,7,38.16262,121.205,20,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,1,1,1,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1
E,8,Conventional ,2,162.6666667,16.9,13.5,6,38.16262,121.205,20,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,1,1,1,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1
E,8,Conventional ,3,134.3333333,14.9,14,7,38.16262,121.205,20,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,1,1,1,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1
E,8,Conventional ,4,185,17.2,14,7,38.16262,121.205,20,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,1,1,1,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1
E,8,Conventional ,5,155.6666667,17.7,12.5,7,38.16262,121.205,20,77.15833333,48.375,62.74166667,0,1719,0,1,0,1,0,0,0,1,1,1,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1
F,9,Conventional ,1,133,18.4,13.5,4,36.99562,121.7716,63,77.61666667,48.25,62.925,14.6,918,1,0,0,1,1,1,0,1,1,1,3,2,1,2,1,2,2,1,1,2,1,1,1,1,1
F,9,Conventional ,2,149.6666667,20.9,14.5,4,36.99562,121.7716,63,77.61666667,48.25,62.925,14.6,918,1,0,0,1,1,1,0,1,1,1,3,2,1,2,1,2,2,1,1,2,1,1,1,1,1
F,9,Conventional ,3,147,19.8,13,4,36.99562,121.7716,63,77.61666667,48.25,62.925,14.6,918,1,0,0,1,1,1,0,1,1,1,3,2,1,2,1,2,2,1,1,2,1,1,1,1,1
F,9,Conventional ,4,111.6666667,20.5,15,5,36.99562,121.7716,63,77.61666667,48.25,62.925,14.6,918,1,0,0,1,1,1,0,1,1,1,3,2,1,2,1,2,2,1,1,2,1,1,1,1,1
F,9,Conventional ,5,102,20.3,12,4,36.99562,121.7716,63,77.61666667,48.25,62.925,14.6,918,1,0,0,1,1,1,0,1,1,1,3,2,1,2,1,2,2,1,1,2,1,1,1,1,1
F,10,Organic ,1,123,23.4,12,4,36.9768,121.7215,53,77.61666667,48.25,62.925,14.6,1650,1,1,1,0,0,1,0,1,5,1,5,5,2,2,1,5,3,1,1,2,1,1,1,1,1
F,10,Organic ,2,138.6666667,22.2,12.5,5,36.9768,121.7215,53,77.61666667,48.25,62.925,14.6,1650,1,1,1,0,0,1,0,1,5,1,5,5,2,2,1,5,3,1,1,2,1,1,1,1,1
F,10,Organic ,3,111.3333333,20.5,13,5,36.9768,121.7215,53,77.61666667,48.25,62.925,14.6,1650,1,1,1,0,0,1,0,1,5,1,5,5,2,2,1,5,3,1,1,2,1,1,1,1,1
F,10,Organic ,4,120.3333333,21.8,12,4,36.9768,121.7215,53,77.61666667,48.25,62.925,14.6,1650,1,1,1,0,0,1,0,1,5,1,5,5,2,2,1,5,3,1,1,2,1,1,1,1,1
F,10,Organic ,5,122.6666667,23.4,12,5,36.9768,121.7215,53,77.61666667,48.25,62.925,14.6,1650,1,1,1,0,0,1,0,1,5,1,5,5,2,2,1,5,3,1,1,2,1,1,1,1,1
G,11,Conventional ,1,91.33333333,21.1,11.5,3,38.4296,122.8479,55,73.1,44.19166667,58.65833333,26.32,1968,1,1,0,1,0,1,1,2,2,1,4,4,2,2,1,4,2,1,2,2,2,2,1,1,1
G,11,Conventional ,2,85,17.6,12,4,38.4296,122.8479,55,73.1,44.19166667,58.65833333,26.32,1968,1,1,0,1,0,1,1,2,2,1,4,4,2,2,1,4,2,1,2,2,2,2,1,1,1
G,11,Conventional ,3,88,19.8,13,3,38.4296,122.8479,55,73.1,44.19166667,58.65833333,26.32,1968,1,1,0,1,0,1,1,2,2,1,4,4,2,2,1,4,2,1,2,2,2,2,1,1,1
G,11,Conventional ,4,78.66666667,19.1,12.5,3,38.4296,122.8479,55,73.1,44.19166667,58.65833333,26.32,1968,1,1,0,1,0,1,1,2,2,1,4,4,2,2,1,4,2,1,2,2,2,2,1,1,1
