Latitude,Longitutde,elevation,Szn.Max.Avg,Szn.Min.Avg,Szn.Temp.Avg,Szn.Total.Precip,Prox.Water,site.code ,orchard.type,Orchard.num,Tree,Tissue,TCA,pb1,gentistic.acid,catechin,c.gala,chl.acid,caf.acid,pb2,syr.acid,epicatechin,p.coum,ferulic,rutin,hyperin,isoquercitin,reynoutrin,avicularin,quercitrin,phloridzin,quercetin,phloretin,U1,U2
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,1,PULP,860.7902736,0,0,0,0,8684.887881,0,425.516784,0,1057.927905,0,0,0,0,0,0,0,0,1576.056239,0,0,140.1540998,13.84134605
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,2,PULP,857.7486118,0,0,0,0,6020.999297,0,538.105916,0,0,0,0,0,0,0,0,0,258.1860373,0,0,0,68.64804191,15.86994792
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,3,PULP,838.2831771,731.2357169,0,0,0,9241.529273,0,989.7722416,0,1269.475626,0,0,0,0,0,0,0,0,0,0,0,153.617253,22.62014715
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,4,PULP,864.2929807,0,0,0,0,7948.996634,46.17975813,0,0,991.7977959,0,0,0,0,0,0,0,0,0,0,0,77.70769238,126.8111084
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,5,PULP,829.6875,628.917199,0,0,0,8630.336585,40.53785126,739.7320691,0,1273.07394,0,0,0,0,0,0,0,0,0,0,0,132.7051164,17.21483203
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,1,SEED,761.6315554,0,0,0,0,7583.067868,0,1077.066509,0,1291.298925,0,0,0,0,0,124.0444085,0,0,44727.88807,0,6.297561055,0,28.34786198
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,2,SEED,840.7718951,0,0,0,0,17257.62721,0,1910.487495,304.7328507,1634.924869,0,0,0,0,0,259.7587525,0,327.665453,113979.0598,0,45.78075353,14.23175036,52.28940251
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,3,SEED,825.6559767,0,0,0,0,10717.56898,3.517195253,1612.326164,0,1671.36063,0,0,0,0,0,159.3615121,0,44.48355671,61188.86651,0,3.026922626,0,42.0111426
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,4,SEED,853.8693467,0,0,0,0,9109.272876,0,1676.013809,0,1290.986303,0,0,0,0,0,118.2403938,0,0,52651.80916,0,3.463956181,0,39.50849274
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,5,SEED,867.381317,0,0,0,0,16301.28599,145.4578402,4982.216291,0,2804.236143,0,0,0,0,0,149.9937661,0,90.3156955,85059.94353,0,21.61615013,0,59.97693648
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,1,SKIN,846.2151394,929.7786708,0,0,0,3409.480928,0,2800.079338,446.8341102,3073.578,0,0,729.3770191,19456.39014,3247.188748,3783.766941,7340.056386,9946.501698,1304.866274,0,0,29.34622291,76.00700501
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,2,SKIN,862.1004566,0,0,0,0,3570.372035,0,2260.497445,339.088645,2039.576085,0,0,759.2434659,28079.64096,4495.405833,6417.590138,12222.06819,38099.81634,1083.779199,31.69116747,0,23.1040787,56.41221415
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,3,SKIN,805.6899004,1603.09702,0,2426.906436,0,4369.333003,0,4786.153708,320.1179198,3772.944232,0,0,1941.667491,27989.76747,4797.564242,5037.004021,9399.812154,14259.7758,2499.856049,0,0,38.56453093,80.54247932
34.04883,116.9434,1466,80.74166667,54.91666667,67.825,9.05,4653,A,Organic ,1,4,SKIN,862.97613,0,379.6448844,1524.815406,0,6327.644471,29.52462028,5024.959003,0,3977.743778,0,0,7201.264142,728.1342232,2105.814575,119.6696035,2820.518339,2619.653388,4842.440266,0,0,58.2632303,0
